time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/ent_coef,train/actor_loss,train/learning_rate,train/n_updates,train/critic_loss,train/ent_coef_loss
11,1,0,11.0,-4.32829,52,,,,,,
27,2,0,13.5,-1.0074205,115,,,,,,
57,3,0,19.0,2.7456446666666667,207,,,,,,
78,4,0,19.5,1.98731525,256,,,,,,
97,5,0,19.4,-0.5602218000000001,292,,,,,,
110,6,3,18.333333333333332,-0.8132541666666667,36,1.1312166452407837,54.96105194091797,0.03,180,147.20123214721679,-1.766759991645813
125,7,4,17.857142857142858,0.04705514285714279,26,1.5579208135604858,74.04546356201172,0.03,480,162.2684783935547,-4.492262840270996
133,8,5,16.625,-0.3841430000000001,23,1.8293616771697998,92.02100372314453,0.03,640,221.60475997924806,-6.589817047119141
141,9,6,15.666666666666666,-0.8138274444444445,21,2.155155897140503,102.64431762695312,0.03,800,311.76462707519534,-7.59795618057251
148,10,7,14.8,-1.1348785000000001,20,2.4371817111968994,41.70331573486328,0.03,940,41.35463094711304,4.9995646476745605
155,11,8,14.090909090909092,-1.3290305454545455,18,2.5107803344726562,27.410614013671875,0.03,1080,28.132568359375,5.773440361022949
163,12,9,13.583333333333334,-1.4374155000000002,17,2.3947036266326904,18.543670654296875,0.03,1240,32.69258785247803,5.4138641357421875
171,13,9,13.153846153846153,-1.6637090769230771,17,2.1850712299346924,6.179736137390137,0.03,1400,30.813063526153563,4.884364128112793
178,14,10,12.714285714285714,-1.781117142857143,16,1.9809919595718384,-2.0703883171081543,0.03,1540,25.657687854766845,3.90814208984375
185,15,11,12.333333333333334,-1.8657220000000003,15,1.7840161323547363,-7.886994361877441,0.03,1680,26.8674560546875,3.603877544403076
192,16,12,12.0,-1.9738436874999998,15,1.5958224534988403,-11.275785446166992,0.03,1820,19.76122932434082,2.920316457748413
201,17,13,11.823529411764707,-1.901874470588235,15,1.3681271076202393,-13.804394721984863,0.03,2000,12.210211563110352,2.01509952545166
210,18,14,11.666666666666666,-1.9894598333333333,14,1.1588165760040283,-16.14163589477539,0.03,2180,7.88843560218811,0.9805552959442139
226,19,16,11.894736842105264,-1.9958946315789474,14,0.8451151251792908,-15.818498611450195,0.03,2500,4.061685836315155,-1.084228515625
252,20,19,12.6,-2.0403128,13,0.49653106927871704,-17.423803329467773,0.03,3020,2.118194031715393,-4.228699684143066
345,21,30,16.428571428571427,-4.309985952380952,11,0.1319027692079544,-18.678163528442383,0.03,4880,0.9779014825820923,-3.4952993392944336
420,22,38,19.09090909090909,-4.884187818181818,10,0.08681412041187286,-20.904632568359375,0.03,6380,0.4825634494423866,-2.1056790351867676
626,23,62,27.217391304347824,8.84438452173913,9,0.11174138635396957,-38.16972351074219,0.03,10500,0.9004805892705917,2.7682840824127197
865,24,89,36.041666666666664,24.227286000000007,9,0.1331857293844223,-62.59876251220703,0.03,15280,1.6788551568984986,-0.6815849542617798
1068,25,112,42.72,27.38857228000001,9,0.1317320466041565,-75.18374633789062,0.03,19340,2.264564973115921,0.6119311451911926
1296,26,138,49.84615384615385,40.876957615384626,9,0.2371836155653,-95.59022521972656,0.03,23900,7.419140362739563,-0.4070459008216858
2142,27,233,79.33333333333333,65.81135196296297,9,0.24833691120147705,-130.58558654785156,0.03,40820,6.872559499740601,0.33111369609832764
2879,28,317,102.82142857142857,94.86705078571428,9,0.19530710577964783,-139.30584716796875,0.03,55560,6.465027689933777,1.167004108428955
3045,29,335,105.0,101.52754355172415,9,0.21511608362197876,-144.328125,0.03,58880,5.905530333518982,-0.7331024408340454
3213,30,354,107.1,107.96888880000002,9,0.18293128907680511,-143.46917724609375,0.03,62240,6.603458642959595,-0.47586238384246826
3390,31,374,109.35483870967742,114.14234148387098,9,0.16933788359165192,-144.7767333984375,0.03,65780,5.28244981765747,0.7414422035217285
3538,32,390,110.5625,119.001002,9,0.16398636996746063,-146.05789184570312,0.03,68740,6.233519554138184,1.314798355102539
3710,33,410,112.42424242424242,124.64899954545454,9,0.1486913114786148,-147.8153839111328,0.03,72180,6.0372981309890745,1.3961621522903442
3929,34,435,115.55882352941177,131.07708802941175,9,0.1460881233215332,-146.29580688476562,0.03,76560,5.728294193744659,-0.7840921878814697
4474,35,499,127.82857142857142,142.57994697142854,8,0.09014137089252472,-139.77008056640625,0.03,87460,3.247514069080353,-1.19655179977417
4704,36,525,130.66666666666666,148.44626472222222,8,0.06945747882127762,-139.63949584960938,0.03,92060,2.8954416155815124,0.690438449382782
4992,37,557,134.9189189189189,149.83087775675676,8,0.08271563053131104,-137.44754028320312,0.03,97820,2.8839453518390656,0.17930182814598083
5178,38,579,136.26315789473685,154.15614857894735,8,0.10510887950658798,-134.31939697265625,0.03,101540,4.617558348178863,-3.4881410598754883
5359,39,600,137.4102564102564,157.98323476923076,8,0.07197102904319763,-130.8604736328125,0.03,105160,3.3439269423484803,0.31785404682159424
5615,40,628,140.375,163.428598,8,0.07757843285799026,-130.87747192382812,0.03,110280,4.340711128711701,0.432317852973938
5804,41,649,141.5609756097561,167.1736222195122,8,0.09145433455705643,-127.9466552734375,0.03,114060,5.17780442237854,-0.9020442962646484
5972,42,668,142.1904761904762,170.02511926190476,8,0.1064293161034584,-123.83866119384766,0.03,117420,6.810645699501038,-3.2098569869995117
6135,43,686,142.67441860465115,172.79066562790698,8,0.0885593518614769,-125.59663391113281,0.03,120680,5.167472231388092,0.6351973414421082
6329,44,707,143.8409090909091,176.47904036363636,8,0.06934363394975662,-125.55790710449219,0.03,124560,5.117897796630859,2.084561824798584
6540,45,730,145.33333333333334,180.1889829111111,8,0.0552719384431839,-127.69712829589844,0.03,128780,3.535833603143692,1.5211215019226074
6791,46,759,147.6304347826087,184.44915269565215,8,0.05866032838821411,-130.0289306640625,0.03,133800,4.1085084736347195,0.42966604232788086
6974,47,779,148.38297872340425,187.23371846808507,8,0.051670219749212265,-128.92144775390625,0.03,137460,4.0332718133926395,-0.4213005304336548
7715,48,862,160.72916666666666,202.42778710416667,8,0.10322992503643036,-135.68746948242188,0.03,152280,6.2819887638092045,-2.394862174987793
7881,49,880,160.83673469387756,204.1348025510204,8,0.09633258730173111,-134.07235717773438,0.03,155600,5.385576057434082,-1.963961124420166
8033,50,897,160.66,205.74818338,8,0.09637602418661118,-131.7243194580078,0.03,158640,6.288962078094483,-0.48514801263809204
8251,51,921,161.7843137254902,209.19463260784315,8,0.10015919804573059,-130.20184326171875,0.03,163000,7.901644897460938,0.026361554861068726
8397,52,937,161.48076923076923,210.3403101538462,8,0.07548647373914719,-129.79563903808594,0.03,165920,7.47213761806488,0.3902290463447571
8652,53,965,163.24528301886792,215.037610509434,8,0.12285452336072922,-134.80877685546875,0.03,171020,7.5756772518157955,-0.8967319130897522
8915,54,993,165.09259259259258,218.4738518888889,8,0.06535541266202927,-137.2336883544922,0.03,176280,5.86556465625763,0.2887016832828522
9119,55,1016,165.8,221.11540103636366,8,0.06069715693593025,-136.3783721923828,0.03,180360,4.590866804122925,-2.835106372833252
9324,56,1038,166.5,224.1691870892857,8,0.06828277558088303,-132.29885864257812,0.03,184460,5.061461091041565,-3.166532516479492
9605,57,1068,168.50877192982455,229.02664305263158,8,0.06149023771286011,-134.10055541992188,0.03,190080,5.030863094329834,2.0248146057128906
9947,58,1105,171.5,235.94477906896552,8,0.07893329113721848,-141.74234008789062,0.03,196920,6.301931929588318,2.625131845474243
10139,59,1126,171.84745762711864,238.30055191525423,8,0.08771716803312302,-137.54330444335938,0.03,200760,8.05028760433197,0.8097048997879028
10342,60,1149,172.36666666666667,240.10153959999997,8,0.12505106627941132,-144.90237426757812,0.03,204820,8.744434571266174,0.2036626636981964
10575,61,1175,173.36065573770492,242.5708565081967,8,0.12059909850358963,-148.45526123046875,0.03,209480,9.019863772392274,0.21605664491653442
10740,62,1193,173.2258064516129,243.33494401612901,8,0.10139313340187073,-145.82888793945312,0.03,212780,8.137017393112183,0.6724750995635986
11013,63,1223,174.8095238095238,248.0092933174603,9,0.0769215002655983,-144.0571746826172,0.03,218240,7.619072675704956,3.106896162033081
11216,64,1245,175.25,249.20714525,9,0.08066782355308533,-145.57012939453125,0.03,222300,6.150548887252808,-0.9263313412666321
11477,65,1273,176.56923076923076,252.68253204615382,9,0.09474088996648788,-147.8501434326172,0.03,227520,6.864914178848267,-1.2917438745498657
11757,66,1304,178.13636363636363,255.84433245454542,9,0.10657600313425064,-140.12115478515625,0.03,233120,5.225746774673462,-1.0530461072921753
12340,67,1367,184.17910447761193,264.53006340298504,9,0.06861735880374908,-133.87350463867188,0.03,244780,4.391163420677185,-2.1800713539123535
12549,68,1389,184.5441176470588,266.3910397499999,9,0.06917522102594376,-127.68247985839844,0.03,248960,4.098232316970825,-3.4246602058410645
12735,69,1409,184.56521739130434,268.2699496521738,9,0.06976838409900665,-131.63739013671875,0.03,252680,4.249955534934998,-0.05335482954978943
12936,70,1431,184.8,269.65259688571416,9,0.059407223016023636,-127.81050872802734,0.03,256700,3.6405638098716735,-1.6859767436981201
13169,71,1457,185.4788732394366,271.71319561971825,9,0.047811128199100494,-129.45169067382812,0.03,261360,3.692404317855835,-0.9429416656494141
13389,72,1480,185.95833333333334,273.80109958333327,9,0.056384362280368805,-130.89599609375,0.03,265760,3.473390352725983,3.6242971420288086
13888,73,1535,190.24657534246575,279.576287219178,9,0.0708138570189476,-127.84123229980469,0.03,275740,4.127711927890777,-0.3620494604110718
14849,74,1641,200.66216216216216,293.2262566486486,9,0.05995006486773491,-133.75192260742188,0.03,294960,4.152621209621429,2.6141419410705566
15785,75,1744,210.46666666666667,305.93387473333325,9,0.07106605917215347,-136.52964782714844,0.03,313680,5.689691817760467,0.04229944944381714
15992,76,1767,210.42105263157896,307.27016269736833,9,0.07732760161161423,-136.51914978027344,0.03,317820,5.329737567901612,2.3717617988586426
16173,77,1787,210.03896103896105,307.9183201168831,9,0.08083689957857132,-126.732177734375,0.03,321440,5.513643288612366,-0.061974093317985535
16343,78,1806,209.52564102564102,307.93405419230766,9,0.0937466025352478,-128.53138732910156,0.03,324840,5.050383996963501,0.1671871542930603
16550,79,1830,209.49367088607596,309.09591277215185,9,0.09126336872577667,-125.96229553222656,0.03,328980,5.322049260139465,-3.3692727088928223
16725,80,1849,209.0625,309.5236350125,9,0.06429906189441681,-124.97356414794922,0.03,332480,5.253042948246002,-1.0837384462356567
16891,81,1868,208.53086419753086,309.62963649382715,9,0.0580560602247715,-124.68040466308594,0.03,335800,4.321501815319062,1.6976454257965088
17053,82,1885,207.96341463414635,309.56500348780486,9,0.05587491765618324,-124.92989349365234,0.03,339040,4.704582321643829,-2.361973762512207
17782,83,1966,214.24096385542168,317.3854460240964,9,0.057344336062669754,-131.13360595703125,0.03,353620,3.881143569946289,-0.3095249831676483
17973,84,1986,213.96428571428572,317.75974283333335,9,0.05763263255357742,-129.3907012939453,0.03,357440,3.8243237018585203,2.345353364944458
18152,85,2006,213.5529411764706,317.8677131294118,9,0.057838909327983856,-130.84414672851562,0.03,361020,4.043147897720337,-0.5932585000991821
18346,86,2027,213.32558139534885,318.73805274418606,9,0.04886899143457413,-124.287353515625,0.03,364900,4.3218350291252134,1.2853834629058838
18514,87,2046,212.80459770114942,318.31334535632186,9,0.056157369166612625,-130.35812377929688,0.03,368260,4.836311340332031,-0.16302557289600372
18694,88,2067,212.4318181818182,318.26973445454547,9,0.057264696806669235,-125.88932800292969,0.03,371860,4.433070647716522,-0.46465975046157837
18906,89,2089,212.42696629213484,319.6134386179775,9,0.06630665808916092,-130.36766052246094,0.03,376100,3.9338048815727236,-0.9984031915664673
19365,90,2140,215.16666666666666,323.89771556666665,9,0.04909244924783707,-131.26687622070312,0.03,385280,3.519707214832306,3.132577419281006
19602,91,2166,215.4065934065934,324.8655689450549,9,0.04336658492684364,-125.38055419921875,0.03,390020,3.3764091968536376,3.8784613609313965
19667,92,2173,213.77173913043478,322.01622760869566,9,0.06430429220199585,-132.69554138183594,0.03,391320,3.393904387950897,-0.8753770589828491
20480,93,2263,220.21505376344086,331.9304388172043,9,0.038136955350637436,-127.28301239013672,0.03,407580,4.886099624633789,4.237523078918457
21134,94,2335,224.82978723404256,338.5650954255319,9,0.0662139430642128,-131.05760192871094,0.03,420660,4.576786661148072,-3.497912883758545
21650,95,2393,227.89473684210526,343.5956032947368,9,0.06056241691112518,-129.35415649414062,0.03,430980,4.4059780716896055,2.245966672897339
21875,96,2417,227.86458333333334,344.44606898958335,9,0.05088165029883385,-129.13467407226562,0.03,435480,4.517042481899262,0.21060773730278015
22204,97,2454,228.90721649484536,346.8629977525773,9,0.09288768470287323,-136.19972229003906,0.03,442060,4.768594551086426,-2.87772274017334
22491,98,2485,229.5,348.07410083673466,9,0.0783601626753807,-135.3648681640625,0.03,447800,5.299819564819336,-3.3642537593841553
22712,99,2510,229.41414141414143,348.6863294747475,9,0.048949919641017914,-135.96034240722656,0.03,452220,3.9365960717201234,0.3976254463195801
22901,100,2531,229.01,348.86405183000005,9,0.06054210662841797,-132.22930908203125,0.03,456000,4.584483826160431,0.7599901556968689
23152,101,2559,231.41,353.92844864,9,0.05140712484717369,-132.13148498535156,0.03,461020,4.936998510360718,0.0778103768825531
23429,102,2590,234.02,359.49655833,9,0.06775490194559097,-131.8921661376953,0.03,466560,5.176440787315369,-0.4134567975997925
23742,103,2625,236.85,365.84544056,9,0.06555835157632828,-131.824462890625,0.03,472820,6.019740891456604,1.0133081674575806
23987,104,2652,239.09,371.69243792000003,9,0.0547616109251976,-128.7547149658203,0.03,477720,5.724006772041321,2.8283610343933105
24177,105,2673,240.8,375.4611545,9,0.055391550064086914,-130.80014038085938,0.03,481520,5.471086740493774,-2.4515275955200195
24357,106,2692,242.47,378.73880349,9,0.05924135446548462,-127.3045425415039,0.03,485120,5.060396766662597,1.7024075984954834
24567,107,2714,244.42,382.72804024000004,9,0.05669897422194481,-128.1396026611328,0.03,489320,5.434718859195709,2.747500419616699
24729,108,2732,245.96,386.23696825999997,9,0.045912113040685654,-122.35918426513672,0.03,492560,5.920580744743347,3.683452844619751
24912,109,2752,247.71,390.08919381,9,0.05145289748907089,-122.96160888671875,0.03,496220,5.046522760391236,0.9207302331924438
25144,110,2777,249.96,395.18595336000004,9,0.07432369887828827,-121.67446899414062,0.03,500860,5.128469169139862,-0.20228245854377747
25343,111,2799,251.88,399.26464240000007,9,0.052823469042778015,-123.54898071289062,0.03,504840,4.993583178520202,-0.03197121620178223
25530,112,2820,253.67,402.82486076000004,9,0.07611388713121414,-127.89154052734375,0.03,508580,4.620013880729675,-2.019268751144409
25746,113,2844,255.75,406.90867127999996,9,0.037081487476825714,-125.42981719970703,0.03,512900,4.442228984832764,2.5718064308166504
26045,114,2877,258.67,412.69636428999996,9,0.06467655301094055,-123.79664611816406,0.03,518880,4.439194929599762,-1.4557620286941528
26298,115,2904,261.13,417.78921872,9,0.07159125059843063,-121.13809204101562,0.03,523940,4.365226042270661,-4.2124528884887695
