time/episodes,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/critic_loss,train/ent_coef,train/actor_loss,train/n_updates,train/ent_coef_loss,train/learning_rate
1,0,19,473,-1.471463,19.0,,,,,,
2,0,36,717,-0.692726,18.0,,,,,,
3,0,54,891,-0.3986496666666666,18.0,,,,,,
4,0,70,1001,1.49745825,17.5,,,,,,
5,0,92,1113,1.5189534,18.4,,,,,,
6,2,105,52,1.2706199999999999,17.5,366.69483795166013,1.0103691816329956,45.25944519042969,80,-0.18221476674079895,0.03
7,4,111,26,0.32118985714285714,15.857142857142858,317.2816848754883,1.156970500946045,34.910850524902344,200,-0.9685665369033813,0.03
8,9,125,13,0.3156686250000001,15.625,460.8614532470703,1.4839296340942383,43.865638732910156,480,-1.4053175449371338,0.03
9,13,137,9,0.38279388888888893,15.222222222222221,662.0676147460938,1.7623496055603027,56.08789825439453,720,-2.5203232765197754,0.03
10,25,167,6,0.6677898000000001,16.7,37.857415199279785,1.6999791860580444,12.684381484985352,1320,3.5646674633026123,0.03
11,31,183,5,0.9115677272727273,16.636363636363637,26.584411716461183,1.1710740327835083,7.894990921020508,1640,1.0455584526062012,0.03
12,36,197,5,0.8029404166666668,16.416666666666668,17.68570246696472,0.8187397718429565,5.427155494689941,1920,-1.286599040031433,0.03
13,40,206,5,0.6095256153846156,15.846153846153847,13.159916019439697,0.6479489207267761,3.9738688468933105,2100,-2.7900447845458984,0.03
14,44,219,4,0.5125185000000002,15.642857142857142,8.159382486343384,0.46234846115112305,2.936469793319702,2360,-4.4886674880981445,0.03
15,48,229,4,0.25342226666666684,15.266666666666667,4.77785632610321,0.36000511050224304,1.239836573600769,2560,-5.790966987609863,0.03
16,51,237,4,0.15723956249999993,14.8125,4.379565036296844,0.2959058880805969,1.1295602321624756,2720,-7.193919658660889,0.03
17,57,252,4,-0.05747417647058831,14.823529411764707,2.2784560918807983,0.20411743223667145,0.17119914293289185,3020,-9.256994247436523,0.03
18,66,278,4,0.010413611111111042,15.444444444444445,1.008482164144516,0.10607757419347763,0.004612419754266739,3540,-11.925769805908203,0.03
19,182,591,3,22.647371684210526,31.105263157894736,2.1543009281158447,0.06378889083862305,-20.624248504638672,9800,3.100170850753784,0.03
20,247,768,3,21.828517350000002,38.4,4.421386432647705,0.10083821415901184,-25.956287384033203,13340,-1.653273105621338,0.03
21,298,907,3,31.913635047619046,43.19047619047619,7.214791703224182,0.12386252731084824,-32.87969207763672,16120,-1.121788501739502,0.03
22,354,1059,2,43.02462286363636,48.13636363636363,16.503079462051392,0.13585905730724335,-34.59242248535156,19160,-0.8552618622779846,0.03
23,411,1214,2,53.208459434782604,52.78260869565217,19.04200768470764,0.14625683426856995,-40.848487854003906,22260,-1.3005309104919434,0.03
24,456,1340,2,61.16045225,55.833333333333336,22.142099952697755,0.18101802468299866,-45.07268524169922,24780,0.2570938467979431,0.03
25,580,1679,2,77.2322024,67.16,13.358415651321412,0.1341385543346405,-29.520172119140625,31560,0.020157963037490845,0.03
26,639,1843,2,85.36071638461539,70.88461538461539,20.720625972747804,0.15026894211769104,-28.96908187866211,34840,0.34586113691329956,0.03
27,694,1994,2,92.64086603703706,73.85185185185185,12.476185178756714,0.14822155237197876,-24.992630004882812,37860,1.3245160579681396,0.03
28,752,2154,2,99.70025060714286,76.92857142857143,13.838443040847778,0.11870421469211578,-19.880752563476562,41060,-0.8938823342323303,0.03
29,809,2306,2,105.96981113793105,79.51724137931035,7.7129370212554935,0.09944445639848709,-23.600671768188477,44100,0.3828435242176056,0.03
30,871,2474,2,112.53146203333336,82.46666666666667,7.036624574661255,0.09707484394311905,-27.507356643676758,47460,1.2808693647384644,0.03
31,934,2645,2,118.61631206451615,85.3225806451613,9.644285178184509,0.10671918839216232,-31.489707946777344,50880,-0.669134259223938,0.03
32,1012,2861,2,125.88442125,89.40625,10.734653806686401,0.11753774434328079,-38.820465087890625,55200,-1.2842793464660645,0.03
33,1068,3013,2,130.72012066666667,91.3030303030303,13.561475563049317,0.12616491317749023,-38.48845291137695,58240,0.16305221617221832,0.03
34,1127,3173,2,135.5063615882353,93.32352941176471,11.537344026565552,0.1392684280872345,-43.180877685546875,61440,0.8215519785881042,0.03
35,1178,3315,2,139.37528202857146,94.71428571428571,12.56735119819641,0.14942872524261475,-43.8682861328125,64280,0.27633607387542725,0.03
36,1233,3465,2,143.3675219166667,96.25,12.565403485298157,0.14724098145961761,-52.81866455078125,67280,0.556106686592102,0.03
37,1291,3624,2,147.3399478918919,97.94594594594595,14.37510256767273,0.1373518854379654,-49.61045455932617,70460,1.4154938459396362,0.03
38,1345,3775,2,150.87618750000004,99.34210526315789,11.042438054084778,0.12169168889522552,-54.251129150390625,73480,-0.4531806707382202,0.03
39,1402,3927,2,154.31997351282055,100.6923076923077,12.249200248718262,0.10856341570615768,-58.563045501708984,76520,-1.3370685577392578,0.03
40,1460,4083,2,157.7160377,102.075,17.701501083374023,0.11777618527412415,-56.809120178222656,79640,1.1267480850219727,0.03
41,1526,4262,2,161.53532953658535,103.95121951219512,21.300258445739747,0.0953497514128685,-60.15214920043945,83220,1.9640352725982666,0.03
42,1581,4413,2,164.37432697619047,105.07142857142857,12.037633085250855,0.1306867003440857,-57.893409729003906,86240,0.4552357792854309,0.03
43,1646,4590,2,167.78424895348834,106.74418604651163,10.176449918746949,0.10013589262962341,-65.55030059814453,89780,2.1312108039855957,0.03
44,1700,4737,2,170.28592679545451,107.6590909090909,9.703834342956544,0.10655725747346878,-63.676483154296875,92720,0.6916213035583496,0.03
45,1759,4896,2,172.97687275555552,108.8,12.134065294265747,0.11397220939397812,-65.18350219726562,95900,-0.6266323924064636,0.03
46,1813,5050,2,175.40284997826083,109.78260869565217,11.814069843292236,0.11009836196899414,-65.75274658203125,98980,1.341336727142334,0.03
47,1868,5203,2,177.68071899999998,110.70212765957447,10.896362924575806,0.1039392501115799,-67.94761657714844,102040,0.7619369029998779,0.03
48,1923,5359,2,180.0229470416667,111.64583333333333,11.927898335456849,0.0980294942855835,-64.96385192871094,105160,0.13737015426158905,0.03
49,1977,5511,2,182.2731748979592,112.46938775510205,11.6517014503479,0.0965297594666481,-70.1228256225586,108200,0.11151701211929321,0.03
50,2032,5664,2,183.99933446,113.28,17.283168888092042,0.10881964862346649,-65.07686614990234,111260,0.630772590637207,0.03
51,2088,5823,2,186.1465666862745,114.17647058823529,23.601649713516235,0.14716002345085144,-62.695220947265625,114440,-0.8148304224014282,0.03
52,2141,5972,2,188.05468951923075,114.84615384615384,12.363454699516296,0.1073032096028328,-61.55571746826172,117420,-0.14529746770858765,0.03
