rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/episodes,time/time_elapsed,time/fps,train/ent_coef_loss,train/actor_loss,train/ent_coef,train/learning_rate,train/critic_loss,train/n_updates
8.303383,10,10.0,1,0,60,,,,,,
10.303099,27,13.5,2,0,137,,,,,,
10.426352,40,13.333333333333334,3,0,184,,,,,,
10.8215855,68,17.0,4,0,273,,,,,,
13.6729062,100,20.0,5,0,338,,,,,,
12.990713333333332,119,19.833333333333332,6,8,13,-0.1257513463497162,-7.582690715789795,0.9574328660964966,0.003,1.000204849243164,360
25.455541428571426,250,35.714285714285715,7,60,4,-0.9851409196853638,-31.6475887298584,0.6546849608421326,0.003,2.7594618082046507,2980
34.551637,320,40.0,8,87,3,-1.31824791431427,-41.40300369262695,0.5496658682823181,0.003,2.5195257365703583,4380
45.649662111111105,422,46.888888888888886,9,125,3,-1.5418987274169922,-54.04685974121094,0.43453308939933777,0.003,2.6247231483459474,6420
52.32128659999999,499,49.9,10,155,3,-1.3080552816390991,-62.717567443847656,0.36784204840660095,0.003,4.410257905721664,7960
55.529757999999994,557,50.63636363636363,11,177,3,-1.6068089008331299,-67.84012603759766,0.3257608413696289,0.003,6.742170357704163,9120
70.36348316666665,723,60.25,12,240,3,-2.112541675567627,-81.01710510253906,0.2269192337989807,0.003,4.04314740896225,12440
72.34249923076922,781,60.07692307692308,13,263,2,-1.1701546907424927,-86.31246948242188,0.20426645874977112,0.003,6.544702744483947,13600
87.62996214285714,950,67.85714285714286,14,327,2,-1.3751527070999146,-96.59555053710938,0.15477055311203003,0.003,7.033003413677216,16980
99.30903959999999,1100,73.33333333333333,15,386,2,-1.3333873748779297,-102.9942398071289,0.12609004974365234,0.003,8.442952251434326,19980
106.60588525,1221,76.3125,16,432,2,-1.301545262336731,-107.87830352783203,0.10805663466453552,0.003,3.715630704164505,22400
105.70175970588235,1283,75.47058823529412,17,456,2,0.12276743352413177,-108.80656433105469,0.10197018086910248,0.003,3.7705402255058287,23640
105.11201827777778,1343,74.61111111111111,18,480,2,-0.26978105306625366,-109.26856994628906,0.10151221603155136,0.003,32.49553372859955,24840
106.71581221052631,1422,74.84210526315789,19,510,2,0.3277266025543213,-111.63040161132812,0.10697814077138901,0.003,13.123354840278626,26420
109.87635535,1520,76.0,20,548,2,-0.26813969016075134,-111.9454345703125,0.11548852175474167,0.003,8.832905507087707,28380
118.98323228571428,1702,81.04761904761905,21,617,2,-0.7748297452926636,-115.32817840576172,0.1204841136932373,0.003,15.40620951652527,32020
121.93164672727272,1807,82.13636363636364,22,657,2,1.2091946601867676,-116.55738830566406,0.12925022840499878,0.003,6.908673930168152,34120
129.83130408695652,1979,86.04347826086956,23,723,2,0.4898633658885956,-108.25555419921875,0.1721627563238144,0.003,12.206426787376405,37560
140.28131933333333,2228,92.83333333333333,24,818,2,-0.2576313316822052,-96.8798828125,0.14414255321025848,0.003,10.285848903656007,42540
152.97085656,2619,104.76,25,969,2,-0.6091310977935791,-94.68014526367188,0.0870266854763031,0.003,13.241072964668273,50360
158.81636646153845,2802,107.76923076923077,26,1040,2,0.26805371046066284,-92.06282806396484,0.08521676063537598,0.003,4.733515870571137,54020
166.43695144444445,3039,112.55555555555556,27,1132,2,0.3199114501476288,-87.57637786865234,0.10776428878307343,0.003,5.637779557704926,58760
198.23453371428573,4039,144.25,28,1519,2,0.14668327569961548,-95.41578674316406,0.1109224408864975,0.003,4.014980363845825,78760
202.94117320689656,4230,145.86206896551724,29,1592,2,0.4754721522331238,-95.46896362304688,0.10160369426012039,0.003,5.55795726776123,82580
207.94886933333333,4450,148.33333333333334,30,1677,2,0.44566893577575684,-95.68156433105469,0.10490112006664276,0.003,5.42346214056015,86980
210.8419058387097,4594,148.19354838709677,31,1732,2,0.2397407740354538,-94.08584594726562,0.10684867203235626,0.003,6.086452388763428,89860
215.2018320625,4784,149.5,32,1805,2,0.6018979549407959,-93.59230041503906,0.11054887622594833,0.003,6.073455655574799,93660
213.29627466666668,4903,148.57575757575756,33,1850,2,0.13407616317272186,-88.53213500976562,0.11388195306062698,0.003,7.46708116531372,96040
237.08399035294116,5903,173.61764705882354,34,2230,2,-0.1736275553703308,-94.62062072753906,0.08159870654344559,0.003,3.7675678610801695,116040
259.1809637428571,6903,197.22857142857143,35,2607,2,-0.18830245733261108,-102.66220092773438,0.07558995485305786,0.003,2.3598445653915405,136040
280.1634602222222,7903,219.52777777777777,36,2990,2,-0.8828352093696594,-102.82980346679688,0.06746085733175278,0.003,3.9873219072818755,156040
300.00959816216215,8903,240.6216216216216,37,3372,2,0.010677456855773926,-109.80137634277344,0.049820780754089355,0.003,2.210781329870224,176040
318.8166529473684,9903,260.60526315789474,38,3753,2,-0.6841301918029785,-109.58531188964844,0.04586939886212349,0.003,4.998069310188294,196040
332.63255025641024,10720,274.87179487179486,39,4063,2,-0.5605847835540771,-105.37286376953125,0.04710446670651436,0.003,2.1921796917915346,212380
349.8376295,11720,293.0,40,4445,2,0.9119446277618408,-107.82914733886719,0.049838222563266754,0.003,4.070433104038239,232380
366.27383268292687,12720,310.2439024390244,41,4826,2,0.8211690187454224,-105.31300354003906,0.03385598585009575,0.003,2.52577947974205,252380
365.49753576190477,13025,310.1190476190476,42,4940,2,-1.0718237161636353,-103.95689392089844,0.04183157905936241,0.003,4.979861998558045,258480
380.7559504651163,14025,326.16279069767444,43,5319,2,-0.6264811754226685,-101.66207885742188,0.03978439420461655,0.003,2.6966875970363615,278480
395.22774872727274,15025,341.47727272727275,44,5695,2,-0.16309426724910736,-100.36552429199219,0.03254587948322296,0.003,2.2364169895648955,298480
409.05038162222223,16025,356.1111111111111,45,6068,2,-0.8201502561569214,-103.49980163574219,0.023759156465530396,0.003,0.9246276080608368,318480
410.1422891086957,16410,356.7391304347826,46,6214,2,0.6373332738876343,-104.54508972167969,0.04151853173971176,0.003,1.1985655814409255,326180
406.4181082765958,16549,352.1063829787234,47,6267,2,-1.4896336793899536,-103.9061279296875,0.04052077606320381,0.003,2.294625014066696,328960
399.5712793958334,16597,345.7708333333333,48,6285,2,-0.4372352361679077,-104.52969360351562,0.03433559089899063,0.003,1.7949267148971557,329920
400.01758740816337,16895,344.7959183673469,49,6399,2,0.03685295581817627,-98.00605773925781,0.029238902032375336,0.003,4.3626707792282104,335880
394.3695048400001,16980,339.6,50,6431,2,-0.202286958694458,-98.95130920410156,0.033399924635887146,0.003,2.602144455909729,337580
406.5905078235295,17980,352.54901960784315,51,6809,2,1.1730291843414307,-99.97285461425781,0.034587789326906204,0.003,1.9947974145412446,357580
418.38600196153857,18980,365.0,52,7191,2,-0.8376221060752869,-96.61627197265625,0.0408562570810318,0.003,2.4930768251419066,377580
429.6834650566039,19980,376.9811320754717,53,7569,2,0.6149113178253174,-96.66068267822266,0.0455315075814724,0.003,2.887981641292572,397580
440.5332543703705,20980,388.51851851851853,54,7948,2,-0.6668615341186523,-90.57733154296875,0.05194323882460594,0.003,6.064647305011749,417580
450.98978576363646,21980,399.6363636363636,55,8327,2,1.9424340724945068,-92.98167419433594,0.0516631118953228,0.003,6.203345108032226,437580
460.99395344642863,22980,410.35714285714283,56,8705,2,0.7178002595901489,-93.95793151855469,0.06237971782684326,0.003,6.4346255421638485,457580
470.669194122807,23980,420.70175438596493,57,9086,2,0.17842939496040344,-98.32915496826172,0.062304310500621796,0.003,4.4086845993995665,477580
480.02291174137935,24980,430.6896551724138,58,9462,2,-1.7253248691558838,-99.93340301513672,0.03833024948835373,0.003,5.409437155723571,497580
489.07536879661023,25980,440.33898305084745,59,9840,2,-1.7746087312698364,-101.41380310058594,0.04158026725053787,0.003,3.160896533727646,517580
497.78154966666665,26980,449.6666666666667,60,10223,2,-0.697974443435669,-99.89998626708984,0.050919659435749054,0.003,2.8205451369285583,537580
